id,original_timestamp,post_edit_timestamp,delta
7051,10 2 2022,13 2 2022,3
7062,10 2 2022,11 2 2022,1
7133,10 2 2022,11 2 2022,1
7135,10 2 2022,11 2 2022,1
7155,10 2 2022,11 2 2022,1
7181,10 2 2022,10 2 2022,0
7182,10 2 2022,11 2 2022,1
7183,10 2 2022,11 2 2022,1
7189,10 2 2022,10 2 2022,0
7198,10 2 2022,11 2 2022,1
7226,10 2 2022,24 5 2022,103
7242,10 2 2022,11 2 2022,1
7263,10 2 2022,10 2 2022,0
7312,10 2 2022,11 2 2022,1
7334,10 2 2022,11 2 2022,1
7335,10 2 2022,11 2 2022,1
7354,10 2 2022,11 2 2022,1
7355,11 2 2022,11 2 2022,0
7367,11 2 2022,11 2 2022,0
7431,11 2 2022,11 2 2022,0
7433,11 2 2022,11 2 2022,0
7470,11 2 2022,11 2 2022,0
7475,11 2 2022,11 2 2022,0
7479,11 2 2022,11 2 2022,0
7480,11 2 2022,16 2 2022,5
7482,11 2 2022,14 2 2022,3
7502,11 2 2022,11 2 2022,0
7515,11 2 2022,11 2 2022,0
7541,11 2 2022,11 2 2022,0
7542,11 2 2022,14 2 2022,3
7554,11 2 2022,11 2 2022,0
7555,11 2 2022,11 2 2022,0
7557,11 2 2022,15 2 2022,4
7597,11 2 2022,14 2 2022,3
7598,11 2 2022,11 2 2022,0
7600,11 2 2022,11 2 2022,0
7602,11 2 2022,11 2 2022,0
7626,11 2 2022,11 2 2022,0
7684,11 2 2022,13 2 2022,2
7688,11 2 2022,11 2 2022,0
7690,11 2 2022,11 2 2022,0
7725,11 2 2022,11 2 2022,0
7726,11 2 2022,11 2 2022,0
7750,11 2 2022,11 2 2022,0
7794,11 2 2022,16 2 2022,5
7795,11 2 2022,11 2 2022,0
7796,11 2 2022,11 2 2022,0
7806,11 2 2022,11 2 2022,0
7807,11 2 2022,11 2 2022,0
7809,11 2 2022,11 2 2022,0
7811,11 2 2022,11 2 2022,0
7858,11 2 2022,14 2 2022,3
7869,11 2 2022,11 2 2022,0
7871,11 2 2022,11 2 2022,0
7872,11 2 2022,11 2 2022,0
7873,11 2 2022,11 2 2022,0
7937,11 2 2022,11 2 2022,0
7950,11 2 2022,11 2 2022,0
7951,11 2 2022,11 2 2022,0
7952,11 2 2022,11 2 2022,0
7953,11 2 2022,11 2 2022,0
7954,11 2 2022,11 2 2022,0
7955,11 2 2022,11 2 2022,0
7958,11 2 2022,11 2 2022,0
8014,11 2 2022,11 2 2022,0
